identifier,uuid.x,createdBy,Date,Type,Type_Adela,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseOnTopOfMound,Prominence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn,uuid.y
8307,1.00E+18,Adela Sobotkova,11-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,bulldozed destroyed mound? soilmark of light brown soil and limestonea scatter,Other (explain in notes) (freshly bulldozer field with ripped vineyard and brush),Other (explain in notes) (see LU note above),Hilltop,42.39077351,26.24532337,4693440.652,437883.1614,3,6,NA,Northeast,slr#54,files/app/4481e5ea-9697-47ff-99a6-947d1c03939a_image-1505107799548.original.jpg,0.5,35,NA,30,NA,NA,Other,field stones ploughed up,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last week,NA,NA,NA,POINT(437883.161412 4693440.652453),1.00E+33
8308,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,extinct mound?,Other (explain in notes),Other (explain in notes),Hilltop,42.38964751,26.24537336,4693315.587,437886.1659,3,NA,NA,North,58-57,files/app/ca5c2deb-2798-4525-a268-ab40058da03e_image-1505108629830.original.jpg,0.5,15,NA,12,NA,NA,Other,white boulders scattered around,No,NA,files/app/7c1e76d6-45df-45c4-8d8f-7bfae364b28f_image-1505108700304.original.jpg - files/app/d6c235de-f276-49f4-88bd-1eee840a3912_image-1505108767205.original.jpg,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last week,NA,NA,NA,POINT(437886.165909 4693315.587227),1.00E+33
8309,1.00E+18,Adela Sobotkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,small lozenge in a field with trees and pile of stones,Annual agriculture,Scrub,Upper slope,42.3918815,26.24171041,4693566.327,437586.8775,3,8,NA,Northwest,slr#59-60,files/app/94d7630e-0203-451a-9da0-23614caa8d6a_image-1505109265583.original.jpg,1,18,NA,10,NA,NA,Other,field stone scatter in the RT,No,NA,NA,5 - extinct or near extinct,Looting,agriculture,5- none or nearly none,Agriculture,Last month,"[01,roundish,6,3,0.8, large trench overgrown with scrub]",mound was looted in the past and recently burnt,files/app/6fe4256d-4774-4815-afcb-9958cd2f957c_image-1505109600772.original.jpg,POINT(437586.877467 4693566.327236),1.00E+33
8310,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,bluff with manmade embankment and stone walls and features,Annual agriculture,Scrub,Upper slope,42.39356388,26.24149945,4693753.29,437571.1809,3,9,NA,North,#62-65,files/app/7da8de65-4cd0-4375-a19b-f0354d5f6343_image-1505110298136.original.jpg,1,25,NA,25,NA,NA,Other,NA,No,NA,NA,4 - seriously damaged,Excavation,burning,5- none or nearly none,Other (specify in Annotation) (embankment),Unknown,"[01,round,6,5,1.5, dug in with stone wall to E;02,ditch,12,2,1.5,some fieldstones around]",NA,files/app/ca44bd7a-792e-43fc-ba89-c31ea9ee056f_image-1505112714338.original.jpg - files/app/fd6e656c-699a-4a0e-952b-8b2e3e610e2e_image-1505110528573.original.jpg,POINT(437571.180948 4693753.289884),1.00E+33
8311,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,NA,Annual agriculture,Scrub (half bare half scrub),Lower slope,42.39214205,26.24058881,4693596.083,437494.8197,3,10,NA,West,66,files/app/3ed37862-a78d-4af3-a148-c06ed73e9f18_image-1505111167716.original.jpg,0.3,20,NA,19,NA,NA,Other,"one modern  pile of fieldstones, 3 by 1 m ,1 m tall",No,NA,NA,5 - extinct or near extinct,Other,trampling?,5- none or nearly none,Agriculture,Last month,NA,burning,NA,POINT(437494.819655 4693596.082714),1.00E+33
8312,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,lozenge shaped scrubby feature,Annual agriculture,Scrub,Lower slope,42.39158994,26.24082293,4693534.606,437513.5419,3,11,NA,Northwest,#67,files/app/41a76818-b445-4233-9751-5de3f7074bf6_image-1505111447291.original.jpg,0.4,10,NA,8,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(437513.541942 4693534.60572),1.00E+33
8313,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,low scrubby mound not in a map,Annual agriculture,Scrub,Upper slope,42.39152978,26.23966217,4693528.78,437417.9416,3,12,NA,West,#68-69,files/app/5307da88-227a-4a37-a966-7778551d33ee_image-1505111949709.original.jpg,1.2,16,0.8,13,NA,NA,Other,stones,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,4 - minimal,Agriculture,Last year,"[01,round,5,1.8,large stones inside;02,round,7,1, shallow pan with modern fieldstones]",NA,files/app/0ee64353-8329-4c00-98d1-e990da92b301_image-1505112406816.original.jpg - files/app/2bd13e33-9a68-40dc-a59a-a9ac7a1e30af_image-1505112675353.original.jpg - files/app/b52d3ef2-6b75-4555-987d-edb3e10c3cbf_image-1505112387247.original.jpg,POINT(437417.941564 4693528.779987),1.00E+33
8314,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,NA,Annual agriculture,Scrub,Upper slope,42.38998881,26.24176533,4693356.128,437589.5226,3,13,NA,South,#73-74,files/app/72f8c7ad-57a1-4435-84dc-569cf8236f81_image-1505112965699.original.jpg,0.5,22,NA,15,NA,NA,NA,piles of loose fieldstones in the scrub,No,NA,files/app/f138a0a1-9718-48e8-b0ec-7a77e77ced0c_image-1505113163013.original.jpg,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(437589.522608 4693356.128156),1.00E+33
8315,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,scrubby spot in the field next to other suspects,Annual agriculture,Scrub,Upper slope,42.38860099,26.24272769,4693201.322,437667.3619,3,14,NA,East,#76,files/app/87754e24-2c73-4f54-8466-7e765b2e6228_image-1505113576845.original.jpg,0.5,25,NA,19,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Unknown,NA,NA,NA,POINT(437667.361852 4693201.321567),1.00E+33
8316,1.00E+18,Adela Sobotkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,hilltop mound in burnt rose field with couple Rats and geodetic marker,Perennial agriculture (e.g orchard or vineyard),Scrub,Hilltop,42.38190125,26.2361991,4692462.21,437123.2924,3,15,NA,Northwest,#80,files/app/4ad736cf-f4b3-4734-a778-751e548717d3_image-1505114935997.original.jpg,2.3,25,2,20,NA,NA,NA,"geodetic marker, burnt surface, low visibility",No,NA,NA,2 - minor damage,Looting,NA,2 - good,Looting,Last year,"[01,round,2,1.5,tree inside;02,rect,2,1,1, 03,round,1.5,0.3]",NA,files/app/323e3f2f-3910-4001-993a-98e86ca9b70c_image-1505115393723.original.jpg - files/app/39a367b7-bc03-43ec-998f-abac7d891961_image-1505115227106.original.jpg - files/app/6a105323-ac68-4352-8a99-793c913c7a55_image-1505115685381.original.jpg,POINT(437123.292374 4692462.209706),1.00E+33
8317,1.00E+18,Adela Sobotkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,Drenashkata mogila,Scrub,Scrub,Hilltop,42.38461094,26.23205275,4692766.162,436784.6774,3,16,286.5,Northwest,#87-90,files/app/533a42d2-5e60-4fe8-aafe-17cf9b4646a9_image-1505116592508.original.jpg,3,36,NA,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,"burning, animal turbation -badgers",3 - impaired,Looting,Last year?,"[01,teardrop,10,4,3,massive bulldozer like excavation in south half;02,rect,4,2.5,1,on West side;03, path through north side,12,3,1]",NA,files/app/1689c1fa-54e4-4fb0-8898-d2e09a611793_image-1505118736266.original.jpg - files/app/273e6b5b-b9ac-43dc-b9d5-7b92663ebe4b_image-1505116974008.original.jpg - files/app/adc7d9d0-5dc3-4258-b5ce-d7e6347c00d5_image-1505118543153.original.jpg - files/app/c20e3381-632e-4a32-bfc4-1dc0bb0e61b8_image-1505116890382.original.jpg - files/app/eb5b0e17-340c-4849-814d-766ff3feede0_image-1505118561933.original.jpg,POINT(436784.677382 4692766.1624),1.00E+33
8318,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,"between 8317 and 8319, on the crossroads",Scrub,Other (explain in notes) (burnt terrain),Upper slope,42.38810909,26.23329013,4693153.668,436890.04,3,17,NA,Southwest,#102-103,files/app/9b2d4a82-4665-465c-a72a-80b54025e9a0_image-1505119508325.original.jpg - files/app/a3cd9dfa-e228-4a7d-a58c-52e7da840a24_image-1505119715889.original.jpg,0.5,10,NA,8,NA,NA,NA,4 fieldstones on top,No,NA,NA,5 - extinct or near extinct,Other,burning,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(436890.040001 4693153.667807),1.00E+33
8319,1.00E+18,Adela Sobotkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,"next to a road, geodetic marker",Scrub,Scrub (burnt svrub),Hilltop,42.3903067,26.2310608,4693399.343,436708.7449,3,18,NA,Southwest,#104-106,files/app/6773d3eb-77c2-4d27-af2e-cb944d75f0ee_image-1505119986657.original.jpg,1.7,16,NA,11,NA,NA,NA,"loose stones, one large ashlar, other fieldstones",No,NA,NA,4 - seriously damaged,Looting,burning,4 - minimal,Agriculture,Last month,"[01, rect,7,3,1.5,recent bulldozer like trench;02, round,2,0.5, old overgrown trench]",NA,files/app/b76b13e5-b911-4fe3-b8ac-9b2bfc64d6a4_image-1505120160411.original.jpg - files/app/ba65a3d6-7cec-431e-b355-3f8b11f955c8_image-1505120361783.original.jpg,POINT(436708.744921 4693399.342854),1.00E+33
8320,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,"next to 8321,looks like a military exercise",Scrub,Scrub,Upper slope,42.39246405,26.22891575,4693640.489,436534.3588,3,19,NA,Northeast,#107-107,files/app/a363a533-8f45-4e23-9708-cccfd1ca92b3_image-1505120771581.original.jpg,0.4,16,NA,9,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Excavation,military embankment? burning,5- none or nearly none,Looting,Unknown,"[01,rect,8,4,1.5, military? facing northeast;02,round,2,0.5, old overgrown]",NA,files/app/d7c5666b-9469-4971-9808-bcb72663bb12_image-1505120948173.original.jpg - files/app/e5ebe7ba-52a3-4682-9ab3-e7a47fd17ecf_image-1505121156873.original.jpg,POINT(436534.358758 4693640.489136),1.00E+33
8321,1.00E+18,Adela Sobotkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,next to dirt road,Pasture (grassland),Pasture (grassland),Hilltop,42.39266992,26.22735759,4693664.513,436406.3181,3,20,NA,West,#109-110,files/app/c5787792-3882-4c3f-9e33-90b5d53641e3_image-1505121448920.original.jpg,2.2,23,NA,20,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Excavation,NA,2 - good,Looting,Unknown,"[01, lozenge,8,4,2, military?]",NA,files/app/16f65678-9df7-4907-92d2-d544c25ad754_image-1505121620557.original.jpg - files/app/7a2937b4-1583-4555-a503-d7b7134f2dc3_image-1505121796100.original.jpg,POINT(436406.318106 4693664.51276),1.00E+33
8322,1.00E+18,Adela Sobotkova,11-Sep,Uncertain Mound,Uncertain Mound,Survey,military installations under mounds 8321 and 8320,Annual agriculture (burnt field),Other (explain in notes),Upper slope,42.3931325,26.2281194,4693715.307,436469.4872,3,21,NA,Northeast,#111-112,files/app/52325686-9526-4ca1-b90e-2ae9fb22f042_image-1505122003974.original.jpg,0.4,9,NA,6,NA,NA,NA,one large white quartz holder,No,NA,NA,5 - extinct or near extinct,Excavation,NA,5- none or nearly none,Looting,Unknown,"[01,rect,6,4,1, military?]",NA,files/app/4ba50657-314a-4585-9698-c5ca1ff4c250_image-1505122189317.original.jpg - files/app/fc94042b-a7a7-4e61-832f-a9005fef28ad_image-1505122256854.original.jpg,POINT(436469.487225 4693715.307324),1.00E+33
8323,1.00E+18,Adela Sobotkova,11-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.38434712,26.21724582,4692747.988,435565.5353,3,22,NA,South,#113,files/app/bcbe069e-0a05-4af6-9f62-b25fe577eea0_image-1505124193683.original.jpg,1.4,30,0.5,25,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(435565.535277 4692747.987748),1.00E+33
8324,1.00E+18,Adela Sobotkova,11-Sep,Burial Mound,Burial Mound,Legacy verification,ploughed up mound with geodetic marker,Annual agriculture,Annual agriculture,Hilltop,42.3834157,26.2063386,4692652.892,434666.707,3,23,NA,East,#115,files/app/4bdb313b-79ae-4ab3-bccd-044f753e9c6d_image-1505127123890.original.jpg,0.8,25,NA,20,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(434666.70699 4692652.89246),10000115051299999e17
8325,1.00E+18,Adela Sobotkova,12-Sep,Burial Mound,Burial Mound,Legacy verification,lozyata near Mezhda,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.34737355,26.24045714,4688625.222,437439.5703,3,24,NA,West,#117-118,files/app/5d2ca178-f631-4357-8796-3f9ac7740346_image-1505190223576.original.jpg,1.5,28,1,25,NA,NA,Loose artefacts,some RM AC material around the mound probably from Lozyata site nearby?,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(437439.5703 4688625.221531),10000115051899999e17
8326,1.00E+18,Adela Sobotkova,12-Sep,Surface Scatter,Surface Scatter,Legacy verification,NA,Annual agriculture,Scrub,Valley Bottom or Plain,42.34843876,26.24314564,4688741.525,437662.0644,3,025 (north of scrub),NA,West,NA,files/app/deaea2ea-c13c-4a45-8812-595160ab2d88_image-1505191510115.original.jpg,0.5,150,NA,NA,NA,NA,Artefact scatter - Loose artefacts,"roman material 1/sq m scattered along north side of scrubby feature, AC, fineware, white field stones to the north, tiles and AC to NE",Yes,Roman,files/app/7f2b06c4-0fc4-423d-80ca-b1e2316fbfc7_image-1505191307705.original.jpg,5 - extinct or near extinct,Excavation,NA,3 - impaired,Agriculture,Last week,NA,NA,NA,POINT(437662.064361 4688741.52453),10000115051899999e17
8327,1.00E+18,Adela Sobotkova,12-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,soilmark within gentle terrain wave,Annual agriculture,Annual agriculture,Upper slope,42.3509414,26.24334465,4689019.264,437680.9284,3,26,NA,Northeast,#123,files/app/59bf3b62-3187-442d-ab52-accdf3c00747_image-1505192405311.original.jpg,0.5,20,NA,NA,NA,NA,Loose artefacts,"crushed limestone debris, 1ac fragment, 2 fw artefacts",Yes,Roman,files/app/5ca4ad80-6f6e-45bb-ac0b-fb32a3b14ea6_image-1505192539130.original.jpg,5 - extinct or near extinct,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(437680.928412 4689019.263507),10000115051899999e17
8328,1.00E+18,Adela Sobotkova,12-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35154452,26.24339821,4689086.193,437685.9356,3,27,NA,North,#125-126,files/app/080c9d4e-0233-4bcb-a63d-757a26d2ddee_image-1505192667177.original.jpg,1,25,NA,NA,NA,NA,Loose artefacts,NA,Yes,NA,files/app/ac1e1ebf-27f1-497a-aa67-77907e6a7373_image-1505192861663.original.jpg,4 - seriously damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(437685.935571 4689086.193076),10000115051899999e17
8329,1.00E+18,Adela Sobotkova,12-Sep,Burial Mound,Burial Mound,Legacy verification,soilmark within gentle terrain wave,Annual agriculture,Annual agriculture,Hilltop (ridge),42.35110421,26.24202788,4689038.308,437572.6382,3,28,NA,West,#127,files/app/8cc5b6dd-9bab-4c56-ae80-583aad011b19_image-1505193314365.original.jpg,0.5,25,NA,20,NA,NA,Loose artefacts - Bones,"skull fragment, fw pottery, fresh breaks",Yes,NA,files/app/435bbbc9-2520-41a6-b1fe-73f8fbe37575_image-1505193747810.original.jpg,5 - extinct or near extinct,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(437572.638191 4689038.30783),10000115051899999e17
8330,1.00E+18,Adela Sobotkova,12-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.3505258,26.24300312,4688973.368,437652.3884,3,29,NA,Southeast,#129-131,files/app/a839b089-d729-4827-ad0f-19996d1ce0b1_image-1505194005219.original.jpg,0.8,23,NA,NA,NA,NA,Artefact scatter - Loose artefacts,"thin and thick walled fineware, coarse ware, slipped urn, 1 shard per sq m, one EBA or Nl shard on NE periphery, freshly exposed material, fresh breaks",Yes,Roman,files/app/3472cd6d-4613-40dd-b334-962fa5469146_image-1505194649201.original.jpg - files/app/60de5ce5-a821-49b3-930b-0499742dcab6_image-1505194424011.original.jpg - files/app/9725e2ed-0ba8-4fa1-8c3e-ee1620f0b6a7_image-1505194939233.original.jpg - files/app/c98d2285-4556-4c6a-9f05-377bf04bdca4_image-1505194246281.original.jpg,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,mound on its last legs,NA,POINT(437652.38841 4688973.36752),10000115051899999e17
8331,1.00E+18,Adela Sobotkova,12-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Hilltop,42.35195569,26.2465852,4689129.518,437948.8229,3,30,NA,Northeast,#136-140,files/app/5eda0697-576b-47e5-8d1d-a0a0cc4eb386_image-1505195595027.original.jpg,0.8,20,NA,18,NA,NA,Loose artefacts,"amphora handle, fw rim, AC, RS cup body frag -2 mm thick, freshly ploughed up and exposed grave(s)",Yes,Roman,files/app/5696f9b5-a729-4658-a793-ec0797e2c268_image-1505196206065.original.jpg - files/app/75eda3af-7208-4506-8964-773c1e352448_image-1505195911325.original.jpg,4 - seriously damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(437948.822875 4689129.517838),10000115052000003e17
8332,1.00E+18,Adela Sobotkova,12-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Hilltop,42.35225474,26.24632243,4689162.914,437927.4752,3,31,NA,Northwest,#141-142,files/app/d0d8270e-4273-464c-9367-8e5d096cc9b0_image-1505196244166.original.jpg,0.6,15,NA,NA,NA,NA,NA,none,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last week,NA,NA,NA,POINT(437927.475184 4689162.914175),10000115052000003e17
8333,1.00E+18,Adela Sobotkova,12-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,mound not discernible but soilmark and pottery on the surface,Annual agriculture,Annual agriculture,Hilltop,42.35242033,26.24658871,4689181.107,437949.5695,3,32,NA,North,NA,files/app/15d00625-059f-4ba8-a616-7bfe010614fa_image-1505196884113.original.jpg,0.1,10,NA,NA,NA,uncertain diameter,Loose artefacts,"amphora handle, other thick walled fw,",Yes,NA,files/app/6b226cb5-812a-4507-911d-dcb87e1016d0_image-1505197026458.original.jpg,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(437949.569485 4689181.106911),10000115052000003e17
8334,1.00E+18,Adela Sobotkova,12-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,soilmark ashy loose soil with rocks,Annual agriculture,Annual agriculture,Hilltop,42.35250304,26.2467932,4689190.142,437966.4922,6,33,NA,Northeast,#145,files/app/dc0c6bb5-5d41-4690-8511-f784a29971cd_image-1505198009319.original.jpg,0,7,NA,4,NA,NA,NA,"lots of field stones, some red uncharacteristic pottery",No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(437966.492166 4689190.141628),10000115052000003e17
8335,1.00E+18,Adela Sobotkova,12-Sep,Burial Mound,Burial Mound,Legacy verification,lovely large mound with yellow brown dry soil on top,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35395734,26.24782365,4689350.871,438052.7881,3,034 (also 35),NA,East,146-147,files/app/8bfee81b-fb91-4de5-b38c-3f3603cb00c5_image-1505198500729.original.jpg,2.4,40,NA,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(438052.788138 4689350.871277),10000115052000003e17
8336,1.00E+18,Adela Sobotkova,12-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35426709,26.24856177,4689384.727,438113.8816,3,36,NA,Northeast,#148-149,files/app/c49d372a-b946-4514-adab-d62a1f48ce41_image-1505198990879.original.jpg,0.8,20,NA,18,NA,NA,Loose artefacts,"AC, some pottery",Yes,NA,files/app/426d11fc-65ac-4be5-8d7b-e9a4608158ae_image-1505199137992.original.jpg,4 - seriously damaged,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(438113.881561 4689384.727218),10000115052000003e17
8337,1.00E+18,Adela Sobotkova,12-Sep,Uncertain Mound,Uncertain Mound,Legacy verification,"not in the map, uncertain terrain wave with pottery and a light brown soilmark, very sprawling mound? embankment?",Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.3546495,26.2485118,4689427.225,438110.1415,3,37,NA,North,"#150, 152",files/app/b1a5b4a2-5f9e-4133-b3a8-8a5dde864026_image-1505199497876.original.jpg,0.7,40,NA,NA,NA,NA,Artefact scatter,low density scatter of fineware all over,Yes,Roman,files/app/7394b5f0-606f-4829-95e2-7d77cccd8fa2_image-1505199729402.original.jpg,5 - extinct or near extinct,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(438110.141494 4689427.224743),10000115052000003e17
8345,1.00E+18,Adela Sobotkova,13-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,excavated BA mound over the quarry,Other (explain in notes),Other (explain in notes),Hilltop,42.51417035,26.57072275,4706955.811,464735.8851,3,45,NA,Southeast,NA,files/app/ef76c5ce-6955-422b-a106-bc3a6f9e621e_image-1505281273820.original.jpg,0,0,NA,NA,NA,NA,NA,was Bronze age,No,NA,NA,5 - extinct or near extinct,Excavation,NA,Other,Infrastructure,Unknown,NA,NA,NA,POINT(464735.885097 4706955.811099),10000115052799998e17
8346,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,was 9224 in 2019,Pasture (grassland),Pasture (grassland),Hilltop,42.51413567,26.56663783,4706953.667,464400.2978,3,46,NA,North,#202,files/app/d83a4d15-2071-4a4c-a117-6c15c398dbe1_image-1505281872446.original.jpg,1,21,NA,16,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Post-depositional,looting,1 - full,NA,NA,"[01, crescent,2,1,0.5,old overgrown]",NA,NA,POINT(464400.297809 4706953.666732),10000115052799998e17
8347,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,was 9225,Pasture (grassland),Pasture (grassland),Hilltop,42.51431229,26.56659373,4706973.297,464396.7761,3,47,NA,North,NA,files/app/d9defc0a-a23d-4a32-a87a-dc43dca60335_image-1505282459720.original.jpg,1.2,17,NA,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,Post-depositional,NA,1 - full,Topographic or post-depositional,Unknown,NA,NA,NA,POINT(464396.776063 4706973.297402),10000115052799998e17
8348,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,was 9223,Pasture (grassland),Pasture (grassland),Hilltop,42.51400412,26.56599884,4706939.328,464347.732,3,48,NA,West,#204,files/app/fcdd1199-c5de-4a48-b7fc-21b5d279e927_image-1505282918784.original.jpg,1.5,15,1,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,1 - full,Looting,Unknown,"[01,round,2,0.5, overgrown]",NA,files/app/35e92e1f-3861-4b3c-a9c4-59d366a1d83b_image-1505283237121.original.jpg,POINT(464347.731969 4706939.328214),10000115052799998e17
8349,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,was 9222,Pasture (grassland),Pasture (grassland),Hilltop,42.51381987,26.56613375,4706918.812,464358.7094,3,49,NA,West,#205,files/app/d55d279a-5575-4f0d-820f-8f68a1f56214_image-1505283360968.original.jpg,1.75,17,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,1 - full,Looting,Unknown,"[01,round,2,0.7, overgrown with modern tiles]",NA,NA,POINT(464358.709393 4706918.812094),10000115052799998e17
8350,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,was 9226,Pasture (grassland),Pasture (grassland),Hilltop,42.5140243,26.56454981,4706942.18,464228.7082,3,50,NA,Northwest,#206,files/app/3ad83d2c-1cb4-4b54-9e5a-fe0eda7096c5_image-1505283810603.original.jpg,1.2,18,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Post-depositional,NA,1 - full,Topographic or post-depositional,NA,"[01,round,3,0.6, overgrown]",NA,files/app/a73895fc-fe46-4d20-8752-a7d1ca0742fe_image-1505284037965.original.jpg,POINT(464228.708245 4706942.179848),10000115052799998e17
8351,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,"hilltop mound with geodetic marker, was 9227",Scrub,Pasture (grassland),Hilltop,42.51240266,26.55310393,4706767.006,463287.5029,3,51,164.1,Southwest,#211-213,files/app/d60ab4e0-4ab9-467b-8466-1fb19c641ae6_image-1505285242946.original.jpg,3,30,NA,NA,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Post-depositional,looting,1 - full,Looting,Last month,"[01,rect,3,2,1,fresh RT on top of mound;02, crescent,10,7,2,old overgrown Rt]",NA,files/app/4d50ad7f-2750-4d7f-9787-1e4ee6bd7206_image-1505285665439.original.jpg,POINT(463287.502946 4706767.006287),1.00E+33
8352,1.00E+18,Adela Sobotkova,13-Sep,Burial Mound,Burial Mound,Legacy verification,was 9258,Annual agriculture,Annual agriculture,Upper slope,42.50452086,26.53949379,4705897.801,462164.6753,3,52,NA,South,#239,files/app/3b9f7221-2bce-49fa-a083-654f0d035f99_image-1505288373098.original.jpg,1.3,24,NA,NA,NA,NA,NA,some Roman red fineware rims in vicinity,No,NA,NA,2 - minor damage,Agriculture,dirt road goes through,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(462164.675252 4705897.801363),1.00E+33
