TRAP,TopoID,BLG_Name,Source,SomethingPresentOntheGround,Notes,Date,Excav,Certainty,Length,Width,Height,RT_number,CRM,Necropolis,Landuse_AroundRS,Landuse_TopRS,
9368,200682,0,TOPO50,mound,0,18-Nov,NO,CR,25,20,0.5,None,2,0,Annual agriculture,Annual agriculture,
9369,200679,0,TOPO50,mound,0,18-Nov,NO,CR,35,35,1,None,3,0,Annual agriculture,Pasture,
9370,200680,0,TOPO50,mound,0,18-Nov,NO,CR,35,40,1.6,None,2,0,Annual agriculture,Annual agriculture,
9371,200681,0,TOPO50,mound,0,18-Nov,NO,CR,40,30,2,None,1,0,Annual agriculture,Pasture,
9372,200686,0,TOPO50,mound,0,18-Nov,NO,UN,30,30,0.5,None,5,0,Scrub,Scrub,
9373,0,0,GC,mound,0,18-Nov,NO,CR,30,30,1,1,4,0,Annual agriculture,Annual agriculture,
9374,200688,0,TOPO50,mound,0,18-Nov,NO,CR,35,35,3,None,3,0,Scrub,Scrub,
9375,200687,0,TOPO50,mound,messed up,18-Nov,NO,CR,30,30,2,1,5,0,Annual agriculture,Scrub,
9376,0,0,GC,mound,0,18-Nov,NO,CR,20,20,0.5,None,5,0,Annual agriculture,Annual agriculture,
9377,200911,0,TOPO50,mound,0,18-Nov,NO,CR,40,40,0.5,None,2,0,Annual agriculture,Annual agriculture,
9378,200666,0,TOPO50,mound,0,18-Nov,NO,CR,30,30,0.5,None,1,0,Annual agriculture,Pasture,
9379,0,0,GC,mound,0,18-Nov,NO,CR,35,25,1.5,None,1,0,Annual agriculture,Annual agriculture,
9380,0,0,GC,mound,0,18-Nov,NO,CR,30,30,4,1,1,0,Annual agriculture,Pasture,
9381,0,0,GC,mound,pedoturbation on the top,18-Nov,NO,CR,45,45,5,None,1,0,Annual agriculture,Pasture,
9382,200609,0,TOPO50,mound,pedoturbation,18-Nov,NO,CR,50,50,6,1,1,0,Annual agriculture,Pasture,
9383,0,0,GC,mound,0,18-Nov,NO,CR,30,30,1.5,None,2,,Annual agriculture,Annual agriculture,
9385,200596,0,TOPO50,mound,next to waterhouse,18-Nov,NO,CR,40,40,2,1,1,,Scrub,Scrub,
9386,0,0,GC,mound,0,18-Nov,NO,CR,20,25,1,None,2,,Annual agriculture,Annual agriculture,
9387,200607,0,TOPO50,mound,0,18-Nov,NO,CR,25,20,1.7,1,1,,Scrub,Scrub,
9388,200595,0,TOPO50,mound,ploughed over,18-Nov,NO,CR,40,40,0.5,None,5,,Annual agriculture,Annual agriculture,
9452,200608,0,TOPO50,mound,0,18-Nov,NO,CR,25,25,1.7,None,1,,,,
9389,0,0,GC,mound,0,18-Nov,NO,CR,15,15,1.5,1,5,,Annual agriculture,Scrub,
9390,0,0,GC,mound,0,18-Nov,NO,CR,35,35,1,None,5,,Annual agriculture,Annual agriculture,
9391,0,0,GC,mound,0,18-Nov,NO,CR,20,15,0.5,None,5,,Annual agriculture,Annual agriculture,
9392,0,0,GC,mound,0,18-Nov,NO,CR,15,15,1,1,1,,Annual agriculture,Scrub,
9400,200115,Kocomova mogila,TOPO50,mound,,6-Nov,NO,CR,25,25,1.5,None,5,,Annual agriculture,Annual agriculture,
9401,200117,0,TOPO50,mound,,7-Nov,NO,CR,30,30,1,None,5,,Annual agriculture,Annual agriculture,
9402,200116,0,TOPO50,mound,,7-Nov,NO,CR,35,35,1.5,None,5,,Annual agriculture,Annual agriculture,
9403,0,0,GC,mound,,7-Nov,NO,CR,20,25,1.7,None,5,,Annual agriculture,Annual agriculture,
9404,200119,0,TOPO50,mound,modern structure - tap surrounded by lozenge,7-Nov,NO,CR,20,20,1.5,2,4,,Annual agriculture,Pasture,
9405,0,0,GC,mound,"destroyed by agriculture, soil marks",7-Nov,NO,CR,25,25,1,None,5,,Annual agriculture,Annual agriculture,
9406,200121,0,TOPO50,mound,"destroyed by agriculture, 2 waves - but one mound",7-Nov,NO,CR,50,30,1.5,None,5,,Annual agriculture,Annual agriculture,
9407,200120,0,TOPO50,mound,"moder constructure - square, pedoturbace",7-Nov,NO,CR,35,20,2,1,5,,Pasture,Pasture,
9409,200020,0,TOPO50,mound,bioturbation,7-Nov,NO,CR,30,30,2,None,2,,Annual agriculture,Annual agriculture,
9410,0,0,GC,mound,old cut from both sides (W and E),7-Nov,NO,CR,10,25,3.5,None,5,,Scrub,Pasture,
9411,200016,0,TOPO50,mound,,7-Nov,NO,CR,15,15,1.5,1,2,,Scrub,Scrub,
9412,0,0,GC,mound,big modern structure on the top,7-Nov,NO,CR,25,25,3.5,None,2,,Scrub,Pasture,
9413,200021,0,TOPO50,mound,,7-Nov,NO,CR,20,20,3,None,1,,Scrub,Scrub,
9414,0,0,GC,mound,,7-Nov,NO,CR,15,15,1,None,1,,Scrub,Pasture,
9415,200024,,TOPO50,mound,ploughed over,7-Nov,NO,CR,25,25,1,None,5,,Annual agriculture,Annual agriculture,
9416,200018,0,TOPO50,mound,part of the north  slope was ploughted,7-Nov,NO,CR,20,20,2,None,3,,Scrub,Pasture,
9417,200019,0,TOPO50,mound,"S part was mainly ploughted, 50 % of the mound was destroyed",7-Nov,NO,CR,15,15,2,None,4,,Scrub,Pasture,
9418,200025,0,TOPO50,mound,"S-N trench with tube, 2 m near mound",7-Nov,NO,CR,50,50,6,3,2,,Scrub,Scrub,
9419,200097,0,TOPO50,mound,N-W from th mound was found mill stone. S-E slope of the mound was pedoturbation,7-Nov,NO,CR,25,25,4.5,1,2,,Annual agriculture,Scrub,
9420,200098,0,TOPO50,mound,,7-Nov,NO,CR,30,30,3.5,None,1,,Pasture,Pasture,
9421,0,0,GC,mound,,7-Nov,NO,UN,15,15,1,None,1,"9420, 9422",Pasture,Pasture,
9422,0,0,GC,mound,,7-Nov,NO,CR,15,15,1,None,1,,Pasture,Pasture,
9423,200099,0,TOPO50,mound,,7-Nov,NO,CR,60,60,12,2,1,,Annual agriculture,Pasture,
9424,200092,0,TOPO50,mound,"totally ploughted, just lighter spot on a field",7-Nov,NO,CR,10,10,2 acc to topomap,None,5,,Annual agriculture,Annual agriculture,
9425,200093,0,TOPO50,mound,"totally ploughted, just lighter spot on a field",7-Nov,NO,CR,20,20,0.5,None,5,,Annual agriculture,Annual agriculture,
9426,200091,0,TOPO50,mound,agriculture destroyed,7-Nov,NO,CR,40,40,0.7,None,5,,Annual agriculture,Annual agriculture,
9427,200084,0,TOPO50,mound,ploughed over,8-Nov,NO,CR,23,23,3 acc to topomap,None,6,,Annual agriculture,Annual agriculture,
9428,200085,0,TOPO50,mound,ploughed over,8-Nov,NO,CR,NA,NA,NA,None,6,,Annual agriculture,Annual agriculture,
9429,200079,0,TOP50,nothing,"totally  destroyed, flat  surface  with 3 trenches, check excavation report",10-Nov,NO,,NA,NA,3 acc to topomap,4,5,0,Scrub,Scrub,
9430,200080,0,TOP50,mound,"one  big trench 9x6, totally destroyed, check excavation report",10-Nov,NO,,10,10,2?3? acc to atlas,1,5,0,Scrub,Scrub,
9431,200029,0,TOP50,mound,one big trench  10x10,10-Nov,NO,,20,20,2,2,5,0,Scrub,Scrub,
9432,200069,0,TOP50,mound,,10-Nov,NO,,30,30,2.5,None,1,0,Annual agriculture,Pasture,
9433,0,0,GC,mound,on the top one big trench,10-Nov,NO,,30,30,3.5,4,2,0,Annual agriculture,Pasture,
9434,200068,0,TOP50,mound,agriculture distructed,10-Nov,NO,,25,20,1.5,None,5,0,Annual agriculture,Annual agriculture,
9435,200070,0,TOP50,mound,"ploughed over,  AC scatter",10-Nov,NO,,40,40,1,1,5,0,Annual agriculture,Annual agriculture,
9436,200074,0,TOP50,mound,,10-Nov,NO,,40,40,4,3,3,0,Annual agriculture,Pasture,
9437,200071,0,TOP50,mound,0,10-Nov,NO,,40,40,1.7,None,2,0,Annual agriculture,Annual agriculture,
9438,200073,0,TOP50,mound,totally ploughed,10-Nov,NO,,10,10,0.1,None,5,0,Annual agriculture,Annual agriculture,
9440,200041,0,TOP50,mound,near mound was roman pottery,12-Nov,NO,,50,50,5,1,1,0,Annual agriculture,Pasture,
9441,200045,0,TOP50,nothing,"ploughed over,  AC scatter",12-Nov,NO,,10,10,5 acc to topomap,None,5,0,Annual agriculture,Annual agriculture,
9442,200527,,TOPO50,mound,Geodetic point on top,,NO,CR,40,40,1.5,1,2,,Forest,Forest,
9443,0,0,GC,mound,Road taken part of the western side,17-Nov,NO,CR,25,25,2,2,3,,Forest,Forest,
9444,0,0,GC,mound,Mounde in line with nr 9442 & 9444,17-Nov,NO,CR,40,40,2,1,2,,Forest,Pasture,
9445,200526,0,TOPO50,mound,Partly over ploughed,,NO,CR,20,20,1.5,1,4,0,Pasture,Pasture,
9446,200525,0,TOPO50,mound,"Geodetic point on top, animal disturbance",,NO,CR,40,40,5,1,2,0,Annual agriculture,Scrub,
9447,0,0,GC,mound,"Over plouhed, RT, animal holes",17-Nov,NO,CR,25,25,0.5,1,5,0,Annual agriculture,Scrub,
9448,200521,0,TOPO50,mound,,,NO,CR,20,20,2,1,4,0,Scrub,Scrub,
9449,0,0,GC,mound,In between nr 9448 and 9450. 80% of the mound destroyed by RT. Several other ditches in the scrub -possible mounds??,,NO,CR,20,20,2,1,1,0,Forest,Forest,
9450,200520,0,TOPO50,mound,Long trench running around the E-N side of the mound,,NO,CR,25,25,2,3,3,0,Forest,Scrub,
9451,0,0,GC,mound,Between two dirtroads,,NO,CR,20,20,1,1,5,0,Forest,Pasture,
9484,0,0,GC,mound,0,18-Nov,NO,CR,25,35,2,None,3,0,,,
9338,200313,NO,TOPO50,mound,"soilmark visible in 2014, mound extinct",11-Nov,NO,CR,35,25,1,None,5,0,Annual agriculture,Annual agriculture,
9339,200129,UNCERTAIN TRAP ID,TOPO50,mound,"STILL UNCERTAIN!This point was 9239 a duplicate with 9239 in 200373. Turned out to be a typo of 9339 , and changed thus. 200129 added to record",11-Nov,NO,CR,20,20,1.5,None,2,UNCERTAIN,Scrub,Scrub,
8439,200015,KOTA,TOPO50,tank emplacement nearby,"disturbed terrain, suspect terrain marks, probably site eliminated, map shows rayed square 2m high; SatImg2009/11/6 shows tank emplacement 8m S of point. NEEDS TRAP ID",,"YES, tank emplacement",UN,15,12,1.5,NA,5,,Pasture,Pasture,
8228,200138,DOESN'T EXIST,TOPO50,nothing,"not found, eliminated before 2001, not in sat img, not in GC, needs TRAP number and Extinct status",23-Oct,NO,CR,NA,NA,1 acc to atlas,None,6,0,Annual agriculture,Annual agriculture,
8229,200875,DOESN'T EXIST,TOPO50,nothing,"mound sunburst symbol in map in grassland near a canal, that has since been recut (with a road) , probably destroying mound, check literature for Chokoba works, nothing in sat img since 2001.",,,UN,NA,NA,1 acc to topomap,NA,6,,Pasture,Pasture,
8067,200081,DOESN'T EXIST,GC,nothing,"odd location in the channel around Zaichi Vrah, either never existed (60%) or totally  destroyed (40%), check literature and pre-2005 sat images. NEEDS TRAP ID",10-Nov,NO,0,NA,NA,2? acc to atlas,5,6,0,Pasture,Pasture,
8438,200083,DOESN'T EXIST,TOPO50,nothing,"site in map, but eliminated before 2001, judging my sat images.NEEDS TRAP Code",,NO,UN,NA,NA,2 acc to topomap,None,6,0,Annual agriculture,Annual agriculture,
